car_name,brand,car_model,registration,model_year,transmission,body_type,fuel_type,engine_capacity,kilometers_run,price
Toyota Allion G 2018,Toyota,Allion,2020,2018,Automatic,Saloon,Octane,1500,32200,3654000
Honda Vezel hybrid 2014,Honda,Vezel,2017,2014,Automatic,SUV / 4x4,"Hybrid, Octane",1500,62000,1770000
Honda Grace 2016,Honda,Grace,2017,2016,Automatic,Saloon,"Hybrid, Octane",1500,50358,2198200
Toyota Axio G 2015,Toyota,Axio,2019,2015,Automatic,Saloon,"Petrol, Octane",1500,26014,2204000
Mitsubishi Outlandar 2010,Mitsubishi,Outlandar,2012,2010,Automatic,SUV / 4x4,Octane,2000,53000,2262000
Lexus Harrier 1999,Lexus,Harrier,2002,1999,Automatic,SUV / 4x4,"Petrol, Octane",2000,79000,1136800
Toyota Corsa 1996,Toyota,Corsa,2000,2001,Manual,Saloon,"Petrol, CNG",1331,11000,440800
Toyota Fielder 40 UNNIVERSARY 2004,Toyota,Fielder,2007,2004,Automatic,Estate,"CNG, Octane",1500,98112,1084600
Toyota Noah package SR40 1998,Toyota,Noah,2002,1998,Automatic,MPV,"CNG, Octane",2000,86000,1136800
Toyota Noah Esquire GI 2017,Toyota,Noah,2018,2017,Automatic,MPV,Hybrid,1800,43000,4779200
Toyota Allion A15 G+ 2010,Toyota,Allion,2012,2010,Automatic,Saloon,"CNG, Octane",1500,55100,2030000
Toyota Aqua S 2015,Toyota,Aqua,2016,2015,Automatic,Hatchback,"Petrol, Hybrid, Octane",1500,32510,1624000
Ford Eco Sport 2015,Ford,Eco Sport,2016,2015,Automatic,SUV / 4x4,Diesel,1500,77000,2099600
Toyota Land Cruiser VX 1995,Toyota,Land Cruiser,1997,1995,Automatic,SUV / 4x4,"Octane, LPG",4500,85000,2024200
Toyota Vitz Key Start 2010,Toyota,Vitz,2013,2010,Automatic,Estate,Octane,1000,60000,980200
Toyota Aqua 2013,Toyota,Aqua,2018,2013,Automatic,Saloon,"Hybrid, Octane",1500,52000,1299200
Toyota Noah Smart. Push 2010,Toyota,Noah,2016,2010,Automatic,MPV,Octane,2000,73452,2170000
Toyota Fielder X 2005,Toyota,Fielder,2007,2005,Automatic,Estate,"CNG, Octane",1500,59700,1194800
Toyota Premio G Suprior 2011,Toyota,Premio,2015,2011,Automatic,Saloon,"CNG, Octane",1500,46230,2175000
Nissan Carryboy 2004,Nissan,Carryboy,2009,2004,Manual,SUV / 4x4,"CNG, Octane",2400,150000,986000
Toyota Noah GI 2017,Toyota,Noah,2018,2017,Automatic,MPV,"Petrol, Hybrid, Octane",2000,26000,4286200
Toyota Premio F 2002,Toyota,Premio,2005,2002,Automatic,Saloon,"CNG, Octane",1500,68532,1125200
Honda Grace 2016,Honda,Grace,2019,2016,Automatic,Saloon,"Hybrid, Octane",1500,37150,2227200
Suzuki Swift RS 2014,Suzuki,Swift,2017,2014,Manual,Hatchback,"Petrol, Other fuel type",1200,67000,1740000
Toyota Noah X 2015,Toyota,Noah,2019,2015,Automatic,MPV,"Petrol, Hybrid, Octane",1800,32510,2784000
Toyota Corolla SE Saloon 110 1997,Toyota,Corolla,2001,1997,Automatic,Saloon,"CNG, Octane",1500,850000,667000
Toyota Noah GI 2017,Toyota,Noah,2017,2017,Automatic,MPV,"Petrol, Hybrid, Octane",2000,44000,4686400
Hyundai Accent 2015,Hyundai,Accent,2017,2015,Automatic,Saloon,Octane,1400,217,2169200
Toyota Hiace GL 2016,Toyota,Hiace,2017,2016,Automatic,MPV,"Petrol, Octane",2000,43107,3422000
Toyota Corolla 111 SE 1997,Toyota,Corolla,2003,1997,Automatic,Saloon,"CNG, Octane",1331,75400,578840
Toyota Aqua S 2016,Toyota,Aqua,2018,2016,Automatic,Hatchback,"Petrol, Hybrid, Octane",1500,32190,1612400
Toyota Corolla X 2002,Toyota,Corolla,2003,2002,Automatic,Saloon,"CNG, Octane",1500,65000,986000
Honda Civic Black- 2018,Honda,Civic,2022,2018,Automatic,Saloon,Octane,1500,84652,4100000
Toyota Allion G 2011,Toyota,Allion,2013,2011,Automatic,Saloon,"Octane, LPG",1500,86245,2111200
Toyota Noah X NAha 2009,Toyota,Noah,2014,2009,Automatic,MPV,"Petrol, Octane, LPG",2000,82500,1950000
Toyota Premio FL 2016,Toyota,Premio,2020,2016,Automatic,Saloon,"Petrol, Octane",1500,12900,3804800
Toyota Sienta G 2016,Toyota,Sienta,2020,2016,Automatic,Saloon,"Petrol, Hybrid, Octane",1500,34126,2470800
Toyota Premio G 2015,Toyota,Premio,2018,2015,Automatic,Saloon,Octane,1500,52000,2782840
Nissan Bluebird Shilpa 2008,Nissan,Bluebird,2009,2008,Automatic,Saloon,Octane,1500,62050,1340000
Toyota Hiace DX 2016,Toyota,Hiace,2019,2016,Automatic,MPV,"Petrol, Octane",2000,87000,2691200
Toyota Premio Fl 2016,Toyota,Premio,2018,2016,Automatic,Saloon,Octane,1500,42000,3735200
Toyota Allion G 2018,Toyota,Allion,2023,2018,Automatic,Saloon,"Petrol, Octane",1500,21000,3723600
Toyota Aqua (G) Super Fresh 2013,Toyota,Aqua,2018,2013,Automatic,Hatchback,"Hybrid, Octane",1500,67000,1380000
Mazda RX-8 2005,Mazda,RX-8,2009,2005,Automatic,CoupÃ©/Sports,Octane,1300,25010,1798000
Nissan X-Trail 2017,Nissan,X-Trail,2021,2017,Automatic,SUV / 4x4,Hybrid,2000,33000,5278000
Toyota Premio G Superior 2012,Toyota,Premio,2015,2012,Automatic,Saloon,"Petrol, Octane",1500,60000,2424400
Toyota Corolla X 2004,Toyota,Corolla,2007,2004,Automatic,Saloon,"CNG, Octane",1500,90000,1170000
Toyota Allion A15 super fresh 2012,Toyota,Allion,2016,2012,Automatic,Saloon,"CNG, Octane",1500,66300,2150000
Toyota Fielder Axio 2008,Toyota,Fielder,2010,2008,Automatic,Saloon,"Petrol, CNG, Octane",1500,111000,1252800
Toyota Noah 2016,Toyota,Noah,2018,2016,Automatic,MPV,"Petrol, Octane",1800,35874,3016000
BMW 3 Series 320i 2005,BMW,3 Series,2006,2005,Automatic,Saloon,Octane,2000,61000,1950000
Toyota Noah 2016,Toyota,Noah,2019,2016,Automatic,SUV / 4x4,"Hybrid, Octane",1800,38450,3190000
Toyota Probox Dx 2003,Toyota,Probox,2008,2003,Automatic,Estate,"CNG, Octane",1500,85000,725000
Toyota Allion 2005,Toyota,Allion,2006,2005,Automatic,Saloon,Octane,1500,69000,1328200
"Toyota Axio ""G"" Push Start 2009",Toyota,Axio,2014,2009,Automatic,Saloon,"CNG, Octane",1500,159000,1490000
Suzuki APV 2007,Suzuki,APV,2009,2007,Automatic,MPV,"Petrol, CNG, Octane",1600,78000,951200
Toyota Premio F EX 2015,Toyota,Premio,2017,2015,Automatic,Saloon,Octane,1500,42000,2726000
Toyota Allion A15 2006,Toyota,Allion,2010,2006,Automatic,Saloon,"CNG, Octane",1500,90000,1467400
BMW 7 Series 730Li Long Wheelbase 2005,BMW,7 Series,2005,2005,Automatic,Saloon,Octane,3000,57344,4430000
Toyota Probox 2004,Toyota,Probox,2005,2004,Automatic,Hatchback,"CNG, Octane",1500,75000,690200
Toyota C-HR 2017,Toyota,C-HR,2019,2017,Automatic,SUV / 4x4,"Hybrid, Octane",1800,66768,3770000
Hyundai Accent 2012,Hyundai,Accent,2014,2012,Automatic,Saloon,Octane,1500,54100,1183200
Toyota Hiace Gl 2005,Toyota,Hiace,2007,2005,Automatic,MPV,"CNG, Octane",2000,174596,1571800
Honda Grace 2016,Honda,Grace,2018,2016,Automatic,Saloon,Hybrid,1500,52000,2842000
Toyota Starlet Soleil 1992,Toyota,Starlet,1995,1992,Automatic,Hatchback,"Petrol, CNG",1331,135773,406000
Toyota Corolla 111 1996,Toyota,Corolla,2000,1996,Automatic,Saloon,"Petrol, CNG, Octane",1331,80000,446600
Toyota Noah Kr 42 DX 2006,Toyota,Noah,2008,2006,Automatic,MPV,"Petrol, CNG, Octane",1800,125000,1450000
Toyota Aqua 2015,Toyota,Aqua,2017,2015,Automatic,Hatchback,Hybrid,1500,50200,1716800
Toyota Axio 2008,Toyota,Axio,2013,2008,Automatic,Saloon,"CNG, Octane",1500,70000,1299200
Toyota Allion A15 2015,Toyota,Allion,2018,2015,Automatic,Saloon,"Petrol, Octane",1500,46321,2714400
Toyota Noah HV G LTD PUSH 1DP NS 2018,Toyota,Noah,2020,2018,Automatic,MPV,"Hybrid, Octane",1800,91000,3270000
Toyota Harrier 2018,Toyota,Harrier,2022,2018,Automatic,SUV / 4x4,"Petrol, Octane",2000,44616,9686000
Toyota Corolla G 2005,Toyota,Corolla,2009,2005,Automatic,Saloon,"CNG, Octane",1500,79231,1258600
Toyota Allion A-15 G Limited 2012,Toyota,Allion,2017,2012,Automatic,Saloon,Octane,1500,38000,2430000
Toyota Corolla X 2005,Toyota,Corolla,2005,2005,Automatic,Saloon,"CNG, Octane",1500,75460,1160000
Toyota Hiace 2016,Toyota,Hiace,2019,2016,Automatic,MPV,Octane,2000,39500,2842000
Toyota Hiace 2016,Toyota,Hiace,2017,2016,Automatic,MPV,"Petrol, Octane",2000,39718,2668000
Toyota Premio FL 2017,Toyota,Premio,2023,2017,Automatic,Saloon,"Petrol, Octane",1500,24000,3596000
Toyota Axio X 2012,Toyota,Axio,2016,2012,Automatic,Saloon,"Petrol, CNG, Octane",1500,62000,1531200
Toyota Premio 2014,Toyota,Premio,2016,2014,Automatic,Saloon,Octane,1500,37521,2668000
Toyota Probox 2004,Toyota,Probox,2017,2011,Automatic,Saloon,"CNG, Octane",1500,100000,684400
Toyota Premio G 2012,Toyota,Premio,2014,2012,Automatic,Saloon,Octane,1500,63200,2424400
Toyota Allion A15 2006,Toyota,Allion,2009,2006,Automatic,Saloon,"CNG, Octane",1500,71038,1583400
Honda Civic Turbo / Sunroof 2018,Honda,Civic,2018,2018,Automatic,Saloon,Octane,1500,45737,3750000
Haval H2 2016,Haval,H2,2018,2016,Automatic,SUV / 4x4,Octane,1500,55000,2610000
Toyota Axio 2016,Toyota,Axio,2017,2016,Automatic,Saloon,Hybrid,1500,71000,2146000
Honda Fit G 2004,Honda,Fit,2005,2004,Automatic,Saloon,"CNG, Octane",1300,46000,759800
Toyota Axio 2014,Toyota,Axio,2017,2014,Automatic,Saloon,"CNG, Octane",1500,79852,1310800
Toyota Premio fl 2011,Toyota,Premio,2014,2011,Automatic,Saloon,"CNG, Octane",1500,75000,2227200
Toyota Allion G 2014,Toyota,Allion,2015,2014,Automatic,Saloon,Octane,1500,42000,2459200
Mitsubishi Pajero 2003,Mitsubishi,Pajero,2005,2003,Automatic,SUV / 4x4,Diesel,2500,155000,1774800
Toyota Corolla 2011,Toyota,Corolla,2013,2011,Automatic,Estate,Octane,1500,56000,1682000
Toyota RAV4 L 2000,Toyota,RAV4,2003,2000,Automatic,SUV / 4x4,Octane,1800,78000,1496400
Nissan X-Trail 2016,Nissan,X-Trail,2017,2016,Automatic,SUV / 4x4,Hybrid,2000,39000,4234000
Toyota Esquire G Package 2016,Toyota,Esquire,2021,2016,Automatic,MPV,"Hybrid, Octane",1800,55238,3100000
Nissan Sunny 2003,Nissan,Sunny,2006,2003,Automatic,Saloon,"Octane, LPG",1500,60000,754000
Honda CR-Z 2014,Honda,CR-Z,2015,2014,Automatic,SUV / 4x4,Hybrid,1500,17000,2030000
Toyota Axio 2010,Toyota,Axio,2013,2010,Automatic,Saloon,"CNG, Octane",1500,58000,1502200
Toyota Noah X Smart 2012,Toyota,Noah,2018,2012,Automatic,MPV,"CNG, Octane",2000,55325,2350000
Toyota Esquire 2017,Toyota,Esquire,2020,2017,Automatic,MPV,"Hybrid, Octane",1800,25608,4460200
Toyota Corolla Station Wagon 1999,Toyota,Corolla,2003,1999,Automatic,Estate,"Petrol, CNG, Octane",1331,265000,350000
Honda Vezel 2014,Honda,Vezel,2015,2014,Automatic,Saloon,"Hybrid, Octane",1500,51000,2157600
Toyota Hiace 2011,Toyota,Hiace,2012,2011,Automatic,MPV,"CNG, Octane",2000,64000,2494000
Toyota Allion 2004,Toyota,Allion,2008,2004,Automatic,Saloon,"CNG, Octane",1500,76000,1252800
BMW M3 SUNROOF 2003,BMW,M3,2003,2003,Automatic,Coupé/Sports,Octane,2000,50000,1920000
Toyota Corolla 1990,Toyota,Corolla,1994,1990,Automatic,Saloon,"CNG, Octane",1331,285214,336400
Toyota Hiace AMBULANCE 2015,Toyota,Hiace,2017,2015,Automatic,MPV,Diesel,3000,44000,1798000
Toyota Premio F 2004,Toyota,Premio,2009,2004,Automatic,Saloon,"CNG, Octane",1500,82303,1502200
Nissan Bluebird sylphy 2007,Nissan,Bluebird,2010,2007,Automatic,Saloon,Octane,1500,75000,1190000
Toyota Allion A 15 G+ 2010,Toyota,Allion,2012,2010,Automatic,Saloon,Octane,1500,62400,1995200
Toyota Noah X 2004,Toyota,Noah,2010,2004,Automatic,MPV,"CNG, Octane",2000,189256,1480000
Toyota Sprinter xe saloon 2000,Toyota,Sprinter,2003,2000,Automatic,Saloon,"Petrol, CNG, Octane",1500,50000,667000
Toyota Probox 2004,Toyota,Probox,2007,2004,Automatic,Saloon,"CNG, Octane",1500,68000,725000
Jaguar XJ 2015,Jaguar,XJ,2015,2015,Automatic,Saloon,"Petrol, Octane",2000,13500,11484000
Honda Civic 2005,Honda,Civic,2009,2005,Automatic,Saloon,Octane,1500,78000,916400
Honda Vezel RS Packege 2018,Honda,Vezel,2022,2018,Automatic,SUV / 4x4,"Hybrid, Octane",1500,47048,3190000
Toyota Premio F 2011,Toyota,Premio,2013,2011,Automatic,Saloon,Octane,1500,59000,2280000
Toyota Succeed 2005,Toyota,Succeed,2006,2005,Automatic,Hatchback,"CNG, Octane",1500,64512,788800
Toyota Corolla G 2002,Toyota,Corolla,2004,2002,Automatic,Saloon,"CNG, Octane",1500,72000,1032400
Toyota Voltz 2012,Toyota,Voltz,2015,2012,Automatic,Hatchback,Octane,1000,45855,1368800
Toyota Harrier 2014,Toyota,Harrier,2016,2014,Automatic,SUV / 4x4,Octane,2000,47700,5394000
Toyota RAV4 2004,Toyota,RAV4,2008,2004,Automatic,SUV / 4x4,"Petrol, Octane",1800,65000,1798000
Toyota Premio F 2002,Toyota,Premio,2005,2002,Automatic,Saloon,"CNG, Octane",1500,218609,1392000
Toyota Camry 2014,Toyota,Camry,2017,2014,Automatic,Saloon,"Hybrid, Octane",2500,20000,4988000
Toyota Axio x 2012,Toyota,Axio,2014,2012,Automatic,Saloon,"Petrol, CNG",1500,45000,1734200
Toyota Corolla AE110 1993,Toyota,Corolla,1998,1993,Automatic,Saloon,"CNG, Octane",1500,195000,574200
Toyota Premio Ex 2019,Toyota,Premio,2020,2019,Automatic,Saloon,Octane,1500,7000,4524000
Toyota Fielder 2016,Toyota,Fielder,2020,2016,Automatic,Saloon,"CNG, Octane",1500,56000,1502200
Toyota Fielder X Limited 2006,Toyota,Fielder,2010,2006,Automatic,Estate,"CNG, Octane",1500,73000,1189000
Toyota Allion A15 2007,Toyota,Allion,2011,2007,Automatic,Saloon,"CNG, Octane",1500,65000,1589200
Honda Civic 2016,Honda,Civic,2018,2016,Automatic,Saloon,Octane,1500,27000,3445200
Toyota Premio F 2005,Toyota,Premio,2007,2005,Automatic,Saloon,"CNG, Octane",1500,70000,1682000
Toyota Corolla 1997,Toyota,Corolla,2003,1997,Automatic,Saloon,"CNG, Octane",1500,280000,522000
Honda Civic 2008,Honda,Civic,2009,2008,Automatic,Saloon,"CNG,Octane",1600,110000,1300000
Toyota Premio F 2017,Toyota,Premio,2018,2017,Automatic,Saloon,"Petrol, Octane",1500,25204,3242200
Toyota Noah Esquire 2014,Toyota,Noah,2019,2014,Automatic,MPV,"Hybrid, Octane",1797,53535,2952200
Toyota Hiace GL 2016,Toyota,Hiace,2017,2016,Automatic,MPV,"Petrol, Octane",2000,43108,3422000
Toyota Sienta 2011,Toyota,Sienta,2012,2011,Automatic,Saloon,Octane,1500,49536,1656480
Toyota Allion A 15 2005,Toyota,Allion,2005,2005,Automatic,Saloon,"CNG, Octane",1500,75000,1363000
Toyota Avanza 2016,Toyota,Avanza,2019,2016,Automatic,SUV / 4x4,"CNG, Octane",1500,13072,2772400
Toyota Axio X Hid 2007,Toyota,Axio,2011,2007,Automatic,Saloon,"CNG, Octane",1500,72500,1270000
Suzuki Swift D-ZIRE 2011,Suzuki,Swift,2013,2011,Manual,Saloon,Octane,1300,45000,870000
Toyota Corona PREMIO 1996,Toyota,Corona,1999,1996,Automatic,Saloon,"CNG, Octane",1600,78000,578840
Toyota Corolla 1992,Toyota,Corolla,1995,1992,Automatic,Saloon,"Petrol, CNG, Octane",1500,100000,406000
Toyota Succeed ULX 2002,Toyota,Succeed,2003,2002,Automatic,Estate,"CNG, Octane",1500,75000,694840
Toyota Allion 2006,Toyota,Allion,2008,2006,Automatic,Saloon,"CNG, Octane",1500,71000,1450000
Toyota Fielder AXIO 2011,Toyota,Fielder,2013,2011,Automatic,Estate,"Octane, LPG",1500,65000,1409400
Toyota Corolla 100 Wagon 2001,Toyota,Corolla,2004,2001,Automatic,Saloon,"CNG, Octane",1331,97846,406000
Toyota Corona primio 1997,Toyota,Corona,2001,1997,Automatic,Saloon,"CNG, Octane",1580,95000,487200
Toyota Vitz 2010,Toyota,Vitz,2013,2010,Automatic,Hatchback,Octane,1000,56192,1009200
Mahindra 2017,Mahindra,Mahindra,2019,2017,Manual,SUV / 4x4,Diesel,1500,55000,1798000
BMW X5 2014,BMW,X5,2014,2014,Automatic,SUV / 4x4,Diesel,3000,47900,7800000
Toyota Fielder x 2016,Toyota,Fielder,2017,2016,Automatic,Estate,Hybrid,1500,94000,2088000
Lexus RX 200T 2016,Lexus,RX,2018,2016,Automatic,SUV / 4x4,Octane,2000,39714,11832000
Kia Sportage 2012,Kia,Sportage,2012,2012,Automatic,SUV / 4x4,Octane,2000,125000,2151800
Mercedes-Benz C 2018,Mercedes-Benz,C-Class,2021,2018,Automatic,Saloon,Octane,1600,2657,8410000
Mitsubishi Outlandar 2010,Mitsubishi,Outlandar,2013,2010,Automatic,SUV / 4x4,Octane,2000,68211,2511400
BMW X5 2017,BMW,X5,2017,2017,Automatic,SUV / 4x4,Octane,2000,39240,12000000
Nissan Bluebird Sylphy Octane Drive 2005,Nissan,Bluebird,2009,2005,Automatic,Saloon,Octane,1500,74000,1125000
Nissan X-Trail 2017,Nissan,X-Trail,2021,2017,Automatic,SUV / 4x4,"Petrol, Hybrid, Octane",2000,55770,5057600
Toyota Allion A15 2003,Toyota,Allion,2007,2003,Automatic,Saloon,"CNG, Octane",1500,56745,1380400
Toyota Premio 2011,Toyota,Premio,2016,2011,Automatic,Saloon,"CNG, Octane",1500,62000,2227200
Toyota Corolla EE 90 1990,Toyota,Corolla,1990,1990,Manual,Saloon,"CNG, Octane",1500,274000,185600
Toyota Axio 2014,Toyota,Axio,2016,2014,Automatic,Saloon,"Petrol, Hybrid, Octane",1500,32638,1716800
Toyota Allion 2004,Toyota,Allion,2006,2004,Automatic,Saloon,"CNG, Octane",1500,65000,1386200
Toyota Axio G 2010,Toyota,Axio,2015,2010,Automatic,Saloon,"CNG, Octane",1500,87428,1415200
Toyota Hiace kds 2004,Toyota,Hiace,2007,2004,Automatic,MPV,Diesel,2500,200000,1334000
Toyota Axio X 2016,Toyota,Axio,2019,2016,Automatic,Saloon,"Petrol, Hybrid, Octane",1500,28450,2088000
Toyota Fielder 2011,Toyota,Fielder,2013,2011,Automatic,Estate,CNG,1500,45852,1392000
Toyota Premio G superior 2008,Toyota,Premio,2014,2008,Automatic,Saloon,"CNG, Octane",1500,72000,1838600
Nissan Bluebird sylphy 2013,Nissan,Bluebird,2014,2013,Automatic,Saloon,Octane,1600,37000,1580000
Toyota Premio 2008,Toyota,Premio,2011,2008,Automatic,Saloon,"CNG, Octane",1500,110000,1386200
Toyota Harrier Lexus 2004,Toyota,Harrier,2006,2004,Automatic,SUV / 4x4,Octane,2400,65600,2378000
Toyota Premio F 2014,Toyota,Premio,2020,2014,Automatic,Saloon,"Petrol, Octane",1500,23000,2749200
Toyota Rush 2006,Toyota,Rush,2008,2006,Automatic,SUV / 4x4,Octane,1500,88650,1299200
Toyota Fielder fresh G Edition 2001,Toyota,Fielder,2006,2001,Automatic,Estate,"CNG, Octane",1500,79250,910600
Toyota Fielder X 2009,Toyota,Fielder,2011,2009,Automatic,Estate,"Petrol, CNG, Octane",1500,89601,1351400
Toyota Noah g edition 2005,Toyota,Noah,2006,2005,Automatic,MPV,"CNG, Octane",2000,52345,1542800
Toyota Alphard 2015,Toyota,Alphard,2017,2015,Automatic,MPV,"Hybrid, Octane",2500,37856,9976000
Toyota LiteAce NOAH -GL 2012,Toyota,LiteAce,2015,2012,Automatic,MPV,"CNG, Octane",1500,56000,986000
Toyota Corolla X 2004,Toyota,Corolla,2009,2004,Automatic,Saloon,"CNG, Octane",1500,69000,1142600
Daihatsu Rocky 1989,Daihatsu,Rocky,1991,1989,Manual,SUV,Diesel,2600,61000,203000
Honda Civic GS EX SENSING PKG 2018,Honda,Civic,2020,2018,Automatic,Saloon,Octane,1500,21000,3950000
Toyota Noah KR42 GL 2005,Toyota,Noah,2009,2005,Automatic,MPV,"CNG, Octane",1800,85000,1200600
BMW X5 2013,BMW,X5,2013,2013,Automatic,Saloon,Octane,3000,30632,6950000
Toyota Axio G 2012,Toyota,Axio,2017,2012,Automatic,Saloon,"CNG, Octane",1500,98000,1542800
Toyota Allion G 2006,Toyota,Allion,2009,2006,Automatic,Saloon,"CNG, Octane",1500,85250,1375000
Toyota Carina 1995,Toyota,Carina,1999,1995,Automatic,Saloon,"CNG, Octane",1500,80000,422240
Honda CR-V 2012,Honda,CR-V,2014,2012,Automatic,SUV / 4x4,"Petrol, Octane",2000,44428,3422000
Honda CR-V 2000,Honda,CR-V,2004,2000,Automatic,SUV / 4x4,Octane,2000,68452,1142600
Toyota Allion G 2017,Toyota,Allion,2019,2017,Automatic,Saloon,"Petrol, Octane",1500,32891,3804800
Toyota Corolla X 2002,Toyota,Corolla,2005,2002,Automatic,Saloon,"CNG, Octane",1500,90000,904800
Nissan X-Trail 2020,Nissan,X-Trail,2022,2020,Automatic,SUV / 4x4,Octane,2000,11000,6142200
Toyota Premio G SUPERIOR 2015,Toyota,Premio,2016,2015,Automatic,Saloon,Octane,1500,36700,2778200
Toyota Hiace Ambulance 2015,Toyota,Hiace,2017,2015,Automatic,MPV,"Petrol, Octane",2000,39467,1612400
Toyota Corolla X 2003,Toyota,Corolla,2005,2003,Automatic,Saloon,"CNG, Octane",1500,65732,1075320
Toyota Prado TX 2013,Toyota,Prado,2015,2013,Automatic,SUV / 4x4,Octane,2700,47000,8456400
Tata Indigo Ecs 2013,Tata,Indigo Ecs,2016,2013,Manual,Saloon,Diesel,1500,79523,522000
Nissan Bluebird 2006,Nissan,Bluebird,2009,2006,Automatic,Saloon,"CNG, Octane",1600,9000,645000
Toyota Harrier 2014,Toyota,Harrier,2016,2014,Automatic,SUV / 4x4,Octane,2000,14324,5626000
Toyota Axio 2010,Toyota,Axio,2015,2010,Automatic,Saloon,"CNG, Octane",1500,58000,1502200
Toyota Corolla x package car 2004,Toyota,Corolla,2008,2004,Automatic,Saloon,"CNG, Octane",1500,80000,1145000
Toyota Corolla AE100 SE LIMITED 1992,Toyota,Corolla,1995,1992,Automatic,Saloon,"Petrol, CNG",1500,1387,423400
Toyota Noah AMBULANCE 2016,Toyota,Noah,2018,2016,Automatic,MPV,Petrol,1500,55000,1276000
Toyota Land Cruiser V8 2010,Toyota,Land Cruiser,2013,2010,Automatic,SUV / 4x4,Octane,4600,40000,16000000
Toyota Axio X 2015,Toyota,Axio,2017,2015,Automatic,Estate,Hybrid,1500,65000,1844400
Toyota Axio X 2015,Toyota,Axio,2017,2015,Automatic,Saloon,Hybrid,1500,39089,1751600
Mazda Axela 15S 2014,Mazda,Axela,2016,2014,Automatic,Saloon,"Octane, Other fuel type",1500,10000,2552000
Daihatsu Rocky 1992,Daihatsu,Rocky,1994,1992,Manual,SUV,Diesel,2600,77000,272600
Toyota Hiace GL 2008,Toyota,Hiace,2011,2008,Automatic,MPV,"CNG, Octane",2000,85000,1821200
Toyota Succeed . 2004,Toyota,Succeed,2008,2004,Automatic,Estate,"CNG, Octane",1500,155000,680000
Toyota RunX 2004,Toyota,RunX,2007,2004,Automatic,Hatchback,Octane,1500,80000,1020800
Toyota Allion G 2006,Toyota,Allion,2009,2006,Automatic,Saloon,Octane,1500,84313,1542800
Toyota Land Cruiser Prado TX LTD 2014,Toyota,Land Cruiser,2019,2014,Automatic,SUV / 4x4,Octane,2700,15268,9860000
Toyota Mark II 1997,Toyota,Mark II,2000,1997,Automatic,Saloon,Octane,1500,55000,986000
Toyota Vitz 2012,Toyota,Vitz,2015,2012,Automatic,Hatchback,Octane,1000,56248,1142600
Toyota Axio 2016,Toyota,Axio,2018,2016,Automatic,Saloon,Hybrid,1500,36800,2291000
Toyota Alphard 2006,Toyota,Alphard,2010,2008,Automatic,MPV,"Petrol, Octane, Other fuel type",2362,206693,3480000
Toyota Premio F 2009,Toyota,Premio,2012,2009,Automatic,Saloon,"CNG, Octane",1500,57849,2035800
Toyota Corolla 110 XE Saloon 1999,Toyota,Corolla,2005,1999,Automatic,Saloon,"CNG, Octane",1331,57000,446600
